Function Stack,CPU Time:Total,CPU Time:Self,Memory Bound:Total(%),Memory Bound:L1 Bound:Total(%),Memory Bound:L2 Bound:Total(%),Memory Bound:L3 Bound:Total(%),Memory Bound:DRAM Bound:Total(%),Memory Bound:DRAM Bound:Memory Bandwidth:Total(%),Memory Bound:DRAM Bound:Memory Latency:Total(%),Memory Bound:Self(%),Memory Bound:L1 Bound:Self(%),Memory Bound:L2 Bound:Self(%),Memory Bound:L3 Bound:Self(%),Memory Bound:DRAM Bound:Self(%),Memory Bound:DRAM Bound:Memory Bandwidth:Self(%),Memory Bound:DRAM Bound:Memory Latency:Self(%),Loads:Total,Loads:Self,Stores:Total,Stores:Self,LLC Miss Count:Total,LLC Miss Count:Self,Average Latency (cycles):Total,Average Latency (cycles):Self,Module,Function (Full),Source File,Start Address
Total,100.000000,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.000000,0,100.000000,0,100.000000,0,,0.0,[Unknown],[Unknown],[Unknown],[Unknown]
 GraphParallelExp::IntersectNeighborSets,100.000000,112.479273,,,,,,,,2.9,15.4,0.0,0.5,21.7,38.5,22.6,100.000000,35596067850,100.000000,294008820,100.000000,42001260,,9.229333,pSCANParallelExp0,"GraphParallelExp::IntersectNeighborSets(int, int, int)",GraphParallelExp.cpp,0x4061f0
