Function Stack,CPU Time:Total,CPU Time:Effective Time:Total,CPU Time:Effective Time:Idle:Total,CPU Time:Effective Time:Poor:Total,CPU Time:Effective Time:Ok:Total,CPU Time:Effective Time:Ideal:Total,CPU Time:Effective Time:Over:Total,CPU Time:Spin Time:Total,CPU Time:Overhead Time:Total,CPU Time:Self,CPU Time:Effective Time:Self,CPU Time:Effective Time:Idle:Self,CPU Time:Effective Time:Poor:Self,CPU Time:Effective Time:Ok:Self,CPU Time:Effective Time:Ideal:Self,CPU Time:Effective Time:Over:Self,CPU Time:Spin Time:Self,CPU Time:Overhead Time:Self,Instructions Retired:Total,Instructions Retired:Self,CPI Rate:Total,CPI Rate:Self,CPU Frequency Ratio:Total,CPU Frequency Ratio:Self,Module,Function (Full),Source File,Start Address
Total,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.000000,0,100.000000,0.0,100.000000,0.0,[Unknown],[Unknown],[Unknown],[Unknown]
 GraphParallelExp::IntersectNeighborSets,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,,,,113.038722,113.038722,0.029970,0.209793,0.179823,112.619135,0.0,0.0,0.0,100.000000,264962000000,100.000000,1.577826,100.000000,1.086699,pSCANParallelExp0,"GraphParallelExp::IntersectNeighborSets(int, int, int)",GraphParallelExp.cpp,0x4061f0
